"time","series_id","value"
1357001580,1,11.0
1357001580,2,0.0
1357005180,1,11.0
1357005180,2,0.0
1357005840,1,10.0
1357008780,1,11.0
1357008780,2,0.0
1357012380,1,11.0
1357012380,2,0.0
1357015980,1,11.0
1357015980,2,0.0
1357016340,3,0.0
1357016520,1,10.0
1357016520,2,0.0
1357017660,1,10.0
1357017660,2,0.0
1357019160,1,10.0
1357019160,2,0.0
1357019580,1,6.0
1357019580,2,0.0
1357019580,5,0.0
1357023180,1,6.0
1357023180,2,0.0
1357024200,1,0.0
1357026780,1,0.0
1357026780,2,0.0
1357027020,1,0.0
1357027020,2,0.0
1357027740,1,0.0
1357027740,2,0.0
1357028760,1,0.0
